title,status,xml_filename,mscz_filename,engraver,comments
Álbum de Valses,not started
Andalucía,started,Andalucia Suite.xml,Andalucia Suite.mscz,Alejandro Bonilla, The movements Córdoba through part of Alhambra are complete. Malagueña is started.
Ante el Escorial,complete,Ante el Escorial.xml,Ante el Escorial.mscz,Alejandro Bonilla
Arabesque,not started
Aragonesa,not started
Aragón,not started
Canto del guajiro,not started
Canto Karabalí,not started  
Como trucutú,not started
Danzas afro-cubanas,not started
Danzas cubanas al estilo del siglo XIX,not started
Danzas cubanas,started,En Tres Por Cuatro.xml,En Tres Por Cuatro.mscz,Alejandro Bonilla,Only "En Tres Por Cuatro" (In 3/4 Time) is complete. No other movements are started.
Estampas infantiles,not started
Granada,not started
La habanera,not started
María la O,not started
Mazurka glissando,not started
Mi corazón se fué,not started
3 Miniaturas,not started
Preludio en la noche,not started
Rapsodia negra,not started
San Francisco el Grande,not started
Se va el botellero,not started
Siboney,complete,Siboney.xml,Siboney.mscz,Alejandro Bonilla, Includes Dolly Morse's English lyrics.
Soñé que me dejabas,not started
3 Valses,not started
Zambra gitana,not started
